country;party_id;party;family;electionyear;vote;seat;seatperc;epvote;eu_position;eu_salience;eu_dissent;eu_blur;lrecon;lrecon_blur;lrecon_dissent;lrecon_salience;galtan;galtan_blur;galtan_dissent;galtan_salience;lrgen;immigrate_policy;immigrate_salience;immigrate_dissent;multiculturalism;multicult_salience;redistribution;redist_salience;climate_change;climate_change_salience;environment;environment_salience;spendvtax;deregulation;civlib_laworder;womens_rights;lgbtq_rights;samesex_marriage;religious_principles;ethnic_minorities;nationalism;urban_rural;protectionism;regions;executive_power;judicial_independence;corrupt_salience;anti_islam;people_v_elite;anti_elite_salience;eu_foreign;eu_intmark;eu_russia
esp;501;PSOE;soc;2023;31.68;121;34.57142857142857;30.200001;6.9375;6.5625;875;1.5;3.9375;3;2.5;7.625;2.9375;4.3333335;2.8;6.9375;3.8125;4.1875;5.5;2.8666666;4.1999998;5;3.1875;6.9333334;3.125;6.1428571;2.5714285;5.1428571;2.375;4.1428571;3.2857144;2.375;1.25;0.27272728;2.4285715;3;4.125;4.2857141;4.625;3.5999999;4.5;5.125;6.5;1;3.4000001;1.25;6.1999998;5;4.4000001
esp;502;PP;con;2023;33.06;137;39.14285714285714;34.200001;6.4375;5.8125;1.125;1.75;7.25;4.4000001;2.2;7.3125;7;4.3333335;4.4000001;6.7333331;7.1875;7;7.1428571;2.8;7.4666667;6.0666666;6.625;5.8666668;6.375;4.1428571;5.7142859;3.1428571;7.75;7.2857141;7.1428571;5.5;5.5;3.909091;6;6.5;6.375;5;3.5;7;4.1999998;4.5;7.5;3.5;2.5999999;1;6;3;3.2
esp;506;EAJ/PNV;reg;2023;1.12;5;1.428571428571429;0.54000002;6.0666666;5.2142859;0.83333331;3.75;6.1999998;2.75;2.3333333;6.3571429;6.1999998;4.1999998;2;4.6923075;6.125;5.5384617;4.6923075;2.3636363;6.5;5.9166665;5.5;5.6428571;5.5;4.1666665;4.4285712;5;6;5.6666665;4.8571429;4;4;2.2;6.5;3.1428571;5.7142859;5;5;0;3.8;3.8333333;5.5;2.5999999;4.3333335;1.5714285;5.5999999;6;3.75
esp;511;ERC;reg;2023;1.89;7;2;1.63;5.7142859;4.8461537;1.5;3;2.8571429;3.3333333;2.4444444;5.5333333;2.5714285;3.5999999;1.4285715;5.2142859;3.4000001;3.2857144;4.3571429;2.9000001;4.6428571;5.0769229;3.3333333;6.4285712;3.4000001;5;2.5714285;5.3333335;2.5714285;3.5;2.6666667;2.5714285;2;0.2;1.2857143;2.8571429;5.1428571;4.1666665;5.6666665;0;5;4.5714288;2.5;1.2;6;4.375;4.5999999;6;5.6666665
esp;513;BNG;reg;2023;0.62;1;0;1.63;5.3333335;4.4285712;1.4;3.25;2.7333333;2;1.5714285;5.6666665;2.5333333;2.75;1.5;4.6363635;2.6875;3;4;2.3636363;3.9000001;5.5454545;2.6875;7;3.2857144;5.1666665;2.8571429;5.3333335;2.125;2.6666667;2.1428571;2.5714285;2.5;0.22222222;0.66666669;2.5;4.8571429;5;6.4285712;0;3.2;4.1666665;4.5;0.40000001;6.75;3.5;4.4000001;4;6.5
esp;517;Cca;reg;2023;0.47;1;.2857142857142857;0.54000002;5.8571429;5.0769229;1.3333334;4.2857141;5.8666668;3.5;1.75;5.0833335;6.1666665;4;2.2857144;4.4000001;6;6.3846154;7.3333335;2.909091;6.1111112;6.5454545;5.2857141;5.6666665;4.8000002;3.8;4.25;4.8000002;6;5.4000001;3.5;5;4.3333335;2;4.5999999;3.8571429;5.4000001;4.4000001;5;0.75;4.4000001;4.6666665;2;4.25;5;1.6;5.5999999;;4.5
esp;524;EH Bildu;reg;2023;1.36;6;1.714285714285714;1.63;5.0666666;4.8571429;1.8333334;2.5714285;2.5;1.4;2.1111112;5.75;2.2;2.8;1.5;5.4666667;2.375;3;4.2857141;1.7272727;4;5.3333335;2.4375;6.9333334;2.5714285;5;2.5714285;6;1.75;2.6666667;2.4285715;2.4285715;2.25;0.2;0.66666669;2.625;5;4.8571429;6.6666665;0;4;4.5;4.5;0.2;6.75;4;4.1999998;5;7
esp;527;Vox;radrt;2023;12.38;33;9.428571428571429;9.6000004;3.0625;5.6875;2;4.875;9;4.1666665;2.8;5.5625;9.5;1.8333334;1.4;8.5625;9.375;9.6875;9.5333338;0.80000001;9.9333334;8.8000002;8.5625;6.0666666;9;4.4285712;9.2857141;6.8571429;9.625;8.7142859;9.8571424;8.625;7.5;8;8.2857141;9.375;9.625;7.5714288;6.875;10;6;5.5;6.5;8.833333;4.8000002;7.75;4.1999998;1;2.4000001
esp;550;Junts;reg;2023;1.6;7;2;2.52;5.6428571;5.1538463;1.1666666;3.2857144;6.3333335;4.6666665;3.4444444;4.4285712;5.9285712;3.5999999;2.1428571;3.8461537;6.5999999;6.8571429;6.1538463;3.090909;7.6153846;6.1666665;6.2666669;5;5.8000002;3.5999999;4.2857141;4.8333335;7;6.1666665;5.8333335;4.1428571;4.6666665;2.0999999;4.6666665;4.2857141;6.5714288;5.5;5.6666665;0;6.1999998;4.7142859;4.5;4.1999998;6;4.875;4.8000002;6;4.6666665
esp;551;Sumar;radleft;2023;10.93;31;7.428571428571429;4.6999998;5.375;4.8125;2.25;3.125;2.2666667;2;2.9000001;7.5;1.2;3.1666667;1.8;7.875;2.3125;2.3125;5.6666665;1.8571428;2.5999999;5.4285712;2.0625;8.6000004;1.5;7.4285712;1.7142857;6.5714288;1.375;2.2857144;2;2.125;0.25;0;0.71428573;2.25;2.125;3.5714285;6.375;3.5999999;4.1666665;4.625;5.5;0.16666667;7.5999999;5.5;4.1999998;4;6.5999999
esp;553;UPN;reg;2023;0.21;1;.2857142857142857;0.54000002;5.9166665;4.4615383;1.2;3.8333333;7.0714288;3.25;2;5.6923075;7.2307692;3.2;1.5714285;5.1666665;7.625;6.7692308;5.5833335;2.3333333;7.3636365;6;6.5999999;5;5.4000001;4.1666665;6;4.4000001;7.5714288;6.1999998;7.5999999;6.1428571;5;4.375;7.8333335;4.4285712;7.1428571;5.5;4.5714288;3.25;3;4;2;5.5999999;2;1.3333334;5.5999999;;4.25